lemmatized_tokens,label,processed_text
"['sadly', 'sapura', 'touch', 'sen']",-1,sadly sapura touch sen
"['macam', 'mau', 'crash', 'kali']",-1,macam mau crash kali
"['tun', 'best', 'olwdythis', 'malaysua', 'fate']",1,tun best olwdythis malaysua fate
"['also', 'lazy', 'research', 'jaks', 'forum', 'take', 'advice', 'tut', 'tut', 'wonder', 'hurmm']",-1,also lazy research jaks forum take advice tut tut wonder hurmm
"['morning', 'volume', 'idssset', 'block', 'big', 'big', 'lalater', 'kena', 'wash']",-1,morning volume idssset block big big lalater kena wash
"['dont', 'dispose', 'shares']",1,dont dispose shares
"['fine', 'say', 'jaks', 'good', 'stock', 'opinion', 'accept', 'telling', 'faked', 'news', 'condemn', 'jaks', 'fair', 'recommend', 'jaks', 'fact', 'figures', 'tell', 'tell', 'lies', 'jaks', 'back', 'statement', 'proof', 'fact', 'figures', 'disagree', 'us', 'good', 'report', 'tell', 'us', 'wrong', 'homework', 'yet', 'simply', 'condemn', 'us', 'fair', 'please', 'irresponsible', 'people', 'talk', 'without', 'fact', 'figures', 'passing', 'sweeping', 'statement', 'convince', 'passing', 'faked', 'news', 'fair', 'readers', 'lost', 'respect', 'person', 'spread', 'faked', 'news', 'want', 'win', 'argument', 'telling', 'faked', 'news', 'good', 'telling', 'lies', 'ask', 'question', 'teach', 'children', 'good', 'value', 'father', 'also', 'telling', 'lies', 'time', 'tell', 'us', 'right', 'believe', 'fair', 'play', 'said', 'enough', 'stop', 'thank']",1,fine say jaks good stock opinion accept telling faked news condemn jaks fair recommend jaks fact figures tell tell lies jaks back statement proof fact figures disagree us good report tell us wrong homework yet simply condemn us fair please irresponsible people talk without fact figures passing sweeping statement convince passing faked news fair readers lost respect person spread faked news want win argument telling faked news good telling lies ask question teach children good value father also telling lies time tell us right believe fair play said enough stop thank
"['mari', 'spinninglotusdia', 'cakap', 'belowboleh', 'p', 'ni']",-1,mari spinninglotusdia cakap belowboleh p ni
"['bought', 'hhahahahah', 'like', 'shares']",1,bought hhahahahah like shares
"['think', 'good', 'ideal', 'irresponsible', 'simply', 'make', 'buy', 'call', 'sell', 'call', 'person', 'integrity', 'pls', 'sapura', 'highly', 'manipulated', 'downtrend', 'could', 'still', 'persist', 'much', 'longer', 'humble', 'advice', 'dont', 'makenyourself', 'sound', 'stupid', 'making', 'buy', 'sell', 'call', 'everyday', 'bark', 'like', 'mad', 'dog']",-1,think good ideal irresponsible simply make buy call sell call person integrity pls sapura highly manipulated downtrend could still persist much longer humble advice dont makenyourself sound stupid making buy sell call everyday bark like mad dog
"['wow', 'djia', 'somuch']",1,wow djia somuch
"['counter', 'wont', 'crash', 'dramatically', 'since', 'there', 'plenty', 'institutional', 'investor', 'everyday', 'high', 'volume', 'price', 'going', 'nowhere', 'needs', 'boost', 'profit', 'announcement', 'soon', 'otherwise', 'operation', 'similar', 'wwf', 'non', 'profit', 'org']",1,counter wont crash dramatically since there plenty institutional investor everyday high volume price going nowhere needs boost profit announcement soon otherwise operation similar wwf non profit org
"['know', 'serious', 'please', 'dun', 'jus', 'follow', 'others', 'country', 'foodstep', 'others', 'country', 'must', 'stop', 'stop', 'aingaporean', 'come', 'malaysia', 'stop', 'malaysian', 'go', 'sinpare', 'work', 'everyday', 'travel']",-1,know serious please dun jus follow others country foodstep others country must stop stop aingaporean come malaysia stop malaysian go sinpare work everyday travel
"['trump', 'yg', 'terberak', 'takut', 'hilang', 'kerja', 'serang', 'iran', 'armada', 'stim', 'mengila']",-1,trump yg terberak takut hilang kerja serang iran armada stim mengila
