processed_text,label
sadly sapura touch sen,-1
macam mau crash kali,-1
tun best olwdythis malaysua fate,1
also lazy research jaks forum take advice tut tut wonder hurmm,-1
morning volume idssset block big big lalater kena wash,-1
dont dispose shares,1
fine say jaks good stock opinion accept telling faked news condemn jaks fair recommend jaks fact figures tell tell lies jaks back statement proof fact figures disagree us good report tell us wrong homework yet simply condemn us fair please irresponsible people talk without fact figures passing sweeping statement convince passing faked news fair readers lost respect person spread faked news want win argument telling faked news good telling lies ask question teach child good value father also telling lies time tell us right believe fair play said enough stop thank,1
mari spinninglotusdia cakap belowboleh p ni,-1
bought hhahahahah like shares,1
think good ideal irresponsible simply make buy call sell call person integrity pls sapura highly manipulated downtrend could still persist much longer humble advice dont makenyourself sound stupid making buy sell call everyday bark like mad dog,-1
wow djia somuch,1
counter wont crash dramatically since there plenty institutional investor everyday high volume price going nowhere needs boost profit announcement soon otherwise operation similar wwf non profit org,1
know serious please dun jus follow others country foodstep others country must stop stop aingaporean come malaysia stop malaysian go sinpare work everyday travel,-1
trump yg terberak takut hilang kerja serang iran armada stim mengila,-1
oil gas counter ie alam perdana dayang etc armada remains despite days dropping rebound,-1
panda need scientisk know use commensense oledy know,-1
enough la go going get new fund already better dont support anymore,-1
mayb operator want shake weak holder accumulate push,-1
hmmi dont think vietnam gov cancel jaks power plant vietnamthe chance minimal chance incur cost operator reduce environment impact instruct gov switch coal gashmmmm,1
would love see queen anne rallyseem ships picking pace qa stil,-1
counter ni kelakar nanti sure jatuh selepas cerita war kat iran stop,-1
ik show courage many shares bought trap,-1
simple declaring dividend even directors andy side bulldoze chinaman agree think get dividend go agm chinaman simply vote andy every chinaman wanted call right issue retaining profit reason provided red chips declaring dividend andy come sifu doesnt know malaysian business played miti shares holder tactic deployed kill jaks unless andy follow game,-1
armada break sen kchansy money buy high sell lowhahahahahah,-1
power grid management planned yearly quarter review many consideration dong one many producers many consumption forecast manage power grid tie plan year highly likely year even though electricity seller ready power grid owner allow tie registration tie grid usually done one year earlier unit seem plan unit try search however find otherwise please advice,1
trapped old,-1
later u one cry kaw kaw,-1
cakap x guna dun said profit b x naik without kyy susah naik big sharks goreng goreng trap newbies,-1
nobody mention much impairment loss weird,-1
big show drop,-1
still lose money share market money eat soon keep money coming time,1
tigeryou cheat newbies,-1
kyy sour grape lah bought jaks last time property issues already existence chose ignore promote kow kow already sold talks talks,-1
stocks also drop also sad stock also dropping unless zero stock attack jaks also help stock go point feel happy afford lose worry still sleep well,-1
catball today u lucky buy back price u short loss transaction fees try next weekjoin naked boys get washed nice ly,1
shark successfully conned small fish buy hope stock fast fast drop shark died,-1
economy might slowed market crash unlikely time lah,-1
test patience,-1
driver price mover go another kyy willing put money buy jaks may jack price never reach insider like merican ever ready dump pocket easy money free shares awarded lousy job kyy willing involved bitter lesson fund managers willing park money jaks investor significance willing bet jaks jaks dingdong lose interest may day share price falls level trigger margin calls pledge securities another kyy making expect support jaks share price margin call coming non stop good learn lesson experienced wc meowmeow sinks one one wc,-1
possible ww mentioned gooshen sellll runaway,-1
many sifus want tell lies come promote favourite stock really sickening say others telling lies lah target profit nringgit ringgit share later turn losing money like people business told keep telling lies entice newbies really lost respect socalled sifu asking people support share already bought cheap dont feel shameful keep telling people gave fake fact whereas write gospel truth feel place hide face enough enough put buy call nothing wrong keep telling people sabotage buy call unbecoming make write think dont owe favour neither owe anything,-1
time like saudi bombing trump follow lindsy law trump want get sacked senate war lindsy wants war time week results outarmada fly year,-1
fed armada,-1
dont la already loss kao kao till,-1
good news shark take opportunity sell limit today,-1
tiger conman detectedmudt listen targrt nvr change,-1
jaks popular pick far outweigh next line,1
loan dgn maybankinterest byr tinggi maybankmaybank owned pnb alsosapura owned pnb tooso untung lor,1
oil price crash crash good us shale industry many days rising normal consolidate bit trump scared war man peace business man weighs profit loss dont see reason us mid east us export oil gas lol,-1
nothing special cny angmoh new year also hardly moved take care,-1
cent half vent,1
mabel sold sap happily bought back plunged safe buy opinion pmmummy waiting ok lets see get haha,1
see u like also tired,-1
buy wait,1
dont surprisearmada touch sen,-1
mamak giv u toxic kfc u eat sure send u hospitalhahahaa,-1
sometimes young ask silly question useful find new knowledge doesnt exist,1
invest b bagus mudajaya start construction signed ppas,1
damnthis like first nightso difficult break,1
planned war right time bad sold monday rm oil hit,1
want buy oilif world war,-1
newbies come question others try find fault dont owe favour likewise owing explanation done homework need scare others say promoters want people camp reinforce belief seek opinion differ talking promoter always think want sabotage position,-1
never bornall problems malaysian poverty existsingaporeans come malaysia work maids factory workersdefinitely better,-1
oh forgetcome sapurasenyou,1
window opportunity buying getting smaller anyone think talk buy cheap need work harder faster power plant begin steam blow tomorrow,1
want show mer hahahacimb also dump sen lacimb lg li haitpsen dumping everything sen tpsenonly know big kong kam ib besince ib say buy sell ib say sell buy clever give tp sen la sen lasen time keep quiet,-1
yes sell thanks waiting sen first phase peace crossed finger,1
letsflyonly price take offbut physical oil stuck strait hormuziran block strait hormuzthey fire fire nato usa,-1
dude nothing oul gas world,-1
another faked news please read link homework yet simply condemn us fair please irresponsible people talk without fact figures passing sweeping statement convince passing faked news fair readers lost respect person spread faked news want win argument telling faked news good telling lies ask question teach children good value father also telling lies,-1
nak naik please drop kao kao,-1
buy,1
putin also give,-1
tomorrow buy dip buy dip,1
jaks pay dividend never directors selfenrichment scheme perhaps like hyr even made ringgit ringgit share think get peanut chinaman jaks vietnam power project chinaman simply ask andy ang go fly kite andy nothing man chinaman history manipulate account cheat malaysian partners jaks exception,-1
drangon buy sap cant even earn lunch,-1
get readystreghten dollar soonwhich effect crude oil priceso armada reach sensensell sell sell,-1
mudajya bought reason sold construction period around roti canai news see vietnam gorvement roti canai happened found uncessful project vietnam main reason government ps recent malaysia government roti canai cant attract investment see vietnam attract investment keep doubt vietnam government better quit malaysia market know roti canai,-1
hope know pangsai conman give unrealistic high tp chase sell proven armada case,-1
dailyklse browith shareholding doung power plant strongly believe cpecc kan cheong jaks n us add together implement hence make project total success,1
come armada sakit perutberak moredown sen,-1
buy wait,1
let know average cost let know expect profit better position advice maximize profit minimize risk tp amateur question want tp tps ranging sen provided share brokers,1
rji never change id lai dont know youmaybe multiple iddont slander people forecast salah especially armadahehhehehebe honest lai waiting sen senthen see lamaybe senwho knowsbutat least promote stocks like youkeep asking people buy eventhough price already high,-1
come sapurago sen,-1
jaks minority shareholders jaks share price po po kow seng,-1
need focus battle sapura still stuck,-1
break look volume high also,-1
mampu,-1
virus flu plus hinioutbreak bring violality,-1
dragondow jones industrial average loss almost points evening lordont play playlike saidsars benchmarkmarket loss lot lorso dont play play virus,-1
stupid shark still want play around,-1
ik please buy regret tomorrow,1
speechless accidentally sold bought back k shares,1
epf dont much money month support market epf pay dividend market,-1
shorties u die badly war,-1
love kcchongnz preaches margin safety fcf profit margin credibility trustworthiness directors major shareholders financial strength major shareholders need explain margin safety jaks analyse come conclusion fcf jaks generates cash flow operating units jaks provide cash flow daily operation include millions paid directors every year kcchong definitely good one look jaks account walk away profit margin main revenue sources gross profit total revenue kcchongnz quoted many times walk away sin die course receivables credibility trustworthiness principal officer managing jaks paying attention given millions share option esos tens millions free shares addition millions directors fees help jaks make hundreds million profit every year like genting fair enough rewarded accordingly evolve mall dead pacific star able deliver vp compensation paid star vietnam project yet bring single sen profit already think deserves share given free thick skin demand free shares company management still suffer losses due incompetency strong major share holders term financial strength read list major share holder know strong wc meowmeow group could reason hard demand free shares expense minority share holders vietnam power project really making big money later wont surprised find ways means enrich pass left,-1
kcchong expressed interest jaks trading rm dont everyday kcchong kcchong hardly know man,-1
market interest end februaryvolatility good capital marketall best market warrior,1
dont fear monitor closely decide,1
groups firm orderbook end third quarter approximatelyrm billion additional optional extensions rm billion,1
rm today must cheat demusangking yes buy haha,-1
losers drop bit shout attack drop shout attack bit shout attack lot suddenly become diam diam cycle repeats againi reckon jaks rm also losers thing,-1
kyy lost lot jaks true buying become poor,-1
dont hope la sentak sayang duit kamau burn finger buy la sen,-1
dishonest answer wonder drop sen like ph dishonesty win ge dk believe way round much star owes jaks,-1
hello happy new year old friends still even buy money gets transferred bad missed sone thing see consistently bugging perception prices brought intentionally even analyst called kitchen sinking makes perfect sense insiders thought let panic sellers give us shares half price decision would strongly suggest much hope reversing charge sell itemsassets value watch drop price satisfaction get shares contrary got sooner later reality sets,-1
furthermore many still sceptical jaks power plant venture latest photos hopefully convinced,-1
dropping reason,-1
totally agree pang rm fact rm still undervaluearmada earnings revenue far superior yinson thus armada continue undervalue improving prospect coming,1
buy ipp qr wait,1
kasih jackpotprice,1
someone keep selling block price,-1
